H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
0.604352,1.83387,0.129341,0.36086,1.09104,0.114475,3.91884,0.841781,0.734353,0.0450816,863.831
1.04848e-136,2.73701,6.03092e-43,3.37487e-141,4.96561e-222,3.31535e-138,9.74861e-136,1.25731e-235,4.78326e-250,0,501.83
0.637832,0.175478,1.95667,1.73115,3.16115,3.55505,0.224468,2.14253,2.38901,1.93791,1378.15
5.60664e-40,2.73701,9.44077e-43,4.72424e-64,1.06652e-71,2.85513e-61,2.39894e-58,9.76474e-78,1.41924e-83,1.16903e-138,502.592
1.9012e-38,2.73701,2.90231e-43,4.40451e-45,6.99283e-56,2.84717e-42,1.17633e-39,3.49487e-59,1.08391e-61,4.9503e-101,502.989
1.96999e-69,2.73701,9.89565e-43,1.06342e-93,5.54329e-126,1.06437e-90,5.33851e-88,4.1831e-136,8.47129e-147,1.68096e-226,502.54
0.367014,1.18715,1.41805,1.23629,2.18897,0.810285,1.56723,1.261,1.41537,0.417429,1147.04
4.28371,0.0585747,0.138637,0.0654354,1.01531,1.11105,0.263119,3.61954,0.955345,4.77803,853.102
1.73841e-165,2.73701,4.15087e-43,2.1104e-156,2.65776e-256,5.31469e-153,6.89852e-151,2.02072e-270,2.31173e-285,0,502.179
2.05375e-20,2.73701,2.86204e-32,2.11415e-32,3.62779e-35,6.55453e-41,2.56793e-34,1.46352e-38,2.3919e-41,4.1134e-79,505.365
5.02958e-67,2.73701,7.64986e-43,7.43894e-90,6.24586e-115,6.17263e-88,3.64335e-85,3.19734e-123,1.30012e-131,1.0531e-210,505.419
0.67352,1.81264,0.0130325,0.0237808,0.900336,0.00595942,3.65411,0.919924,0.717413,0.00281952,829.129
4.33408e-07,2.73701,1.99107e-12,2.57744e-12,4.49751e-13,4.35757e-20,1.9298e-13,6.83975e-15,7.02183e-16,1.19309e-34,504.731
2.37673e-115,2.73701,1.43038e-43,4.17007e-105,3.91068e-162,4.24178e-101,1.41912e-99,1.6451e-169,1.52456e-176,8.63692e-252,503.348
1.7493e-31,2.73701,1.15119e-42,1.80474e-42,2.93341e-48,2.74038e-41,2.25839e-37,1.40317e-51,3.74135e-54,1.69701e-92,500.193
0.654454,0.108386,2.31673,4.18027,2.5405,3.58692,0.0729145,1.38965,3.79698,0.85734,1713.92
1.28897,0.0637004,0.537831,0.55157,2.85122,3.27853,0.109567,2.76641,1.83554,2.96988,1270.67
2.3723e-83,2.73701,3.77996e-43,1.82029e-88,9.88585e-129,1.83961e-85,5.12694e-83,4.28623e-136,2.91889e-143,3.84788e-221,504.331
2.69158e-150,2.73701,4.19881e-43,1.55916e-144,4.53965e-233,3.29104e-141,5.19604e-139,6.72202e-246,2.7479e-259,0,500.412
3.53411e-81,2.73701,8.07029e-43,4.02956e-105,3.73538e-137,3.04197e-102,1.10428e-99,2.06382e-146,8.02066e-156,2.84859e-248,500.295
